DOW,CUST_CLASS,COD_COUNTRY,COD_PRO,PRO_COM,VISITORS
Sabato,visitor,222,49,49009,488
Venerdì,visitor,222,7,7074,40
Mercoledì,visitor,222,77,77027,32
Lunedì,visitor,222,25,25049,48
Domenica,visitor,222,3,3068,88
Mercoledì,visitor,222,16,16030,52
Martedì,visitor,222,3,3024,120
Giovedì,visitor,222,3,3008,72
Sabato,visitor,222,93,93008,68
Venerdì,visitor,222,15,15012,116
Sabato,visitor,222,24,24007,232
Mercoledì,visitor,222,8,8055,160
Lunedì,visitor,222,1,1120,72
Lunedì,visitor,222,20,20037,80
Mercoledì,visitor,222,35,35032,52
Sabato,visitor,222,13,13251,32
Lunedì,visitor,222,15,15248,44
Domenica,visitor,222,77,77014,120
Mercoledì,visitor,222,29,29002,232
Martedì,visitor,222,44,44023,64
Lunedì,visitor,222,69,69099,100
Venerdì,visitor,222,21,21072,64
Giovedì,visitor,222,34,34009,96
Giovedì,visitor,222,104,104004,44
Martedì,visitor,222,58,58057,148
Martedì,visitor,222,34,34010,68
Venerdì,visitor,222,50,50004,44
Mercoledì,visitor,222,17,17008,32
Giovedì,visitor,222,108,108041,56
Venerdì,visitor,222,16,16253,40
Domenica,visitor,222,22,22001,92
Mercoledì,visitor,222,81,81011,96
Venerdì,visitor,222,25,25017,48
Sabato,visitor,222,16,16202,64
Domenica,visitor,222,17,17075,60
Sabato,visitor,222,65,65137,64
Venerdì,visitor,222,22,22228,68
Domenica,visitor,222,31,31008,44
Venerdì,visitor,222,78,78010,36
Lunedì,visitor,222,16,16007,68
Giovedì,visitor,222,16,16089,36
Sabato,visitor,222,70,70006,124
Domenica,visitor,222,17,17143,40
Mercoledì,visitor,222,16,16240,60
Venerdì,visitor,222,13,13010,60
Mercoledì,visitor,222,6,6177,44
Martedì,visitor,222,12,12034,40
Mercoledì,visitor,222,48,48036,48
Lunedì,visitor,222,58,58061,56
Domenica,visitor,222,18,18068,32
Domenica,visitor,222,40,40015,92
Mercoledì,visitor,222,23,23046,104
Lunedì,visitor,222,24,24033,64
Domenica,visitor,222,63,63083,40
Domenica,visitor,222,23,23026,52
Giovedì,visitor,222,50,50001,32
Mercoledì,visitor,222,16,16049,32
Giovedì,foreigner,334,,,1584
Venerdì,foreigner,505,,,476
Venerdì,foreigner,272,,,572
Giovedì,foreigner,311,,,1560
Martedì,foreigner,242,,,464
Sabato,foreigner,716,,,120
Venerdì,foreigner,255,,,80
Sabato,visitor,222,22,22001,72
Giovedì,visitor,222,16,16194,68
Venerdì,visitor,222,30,30009,44
Venerdì,visitor,222,80,80028,32
Lunedì,visitor,222,30,30133,32
Domenica,visitor,222,12,12067,40
Mercoledì,visitor,222,48,48024,48
Venerdì,visitor,222,50,50036,40
Sabato,visitor,222,108,108026,36
Domenica,visitor,222,40,40032,32
Martedì,visitor,222,97,97023,40
Venerdì,visitor,222,64,64025,44
Giovedì,visitor,222,20,20034,32
Sabato,visitor,222,12,12086,44
Lunedì,visitor,222,78,78081,32
Domenica,visitor,222,88,88006,44
Venerdì,visitor,222,67,67044,36
Domenica,visitor,222,58,58102,52
Martedì,foreigner,427,,,44
Lunedì,visitor,222,15,15112,32
Domenica,visitor,222,19,19097,80
Venerdì,visitor,222,17,17143,32
Sabato,visitor,222,54,54026,52
Mercoledì,visitor,222,15,15146,15520
Sabato,visitor,222,28,28003,14256
Sabato,visitor,222,27,27035,5468
Venerdì,visitor,222,26,26021,1344
Venerdì,visitor,222,46,46028,36
Mercoledì,visitor,222,23,23077,256
Sabato,visitor,222,28,28013,3980
Sabato,visitor,222,25,25028,112
Martedì,visitor,222,26,26012,3740
Lunedì,visitor,222,28,28041,992
Sabato,visitor,222,28,28100,9852
Domenica,visitor,222,24,24012,2132
Domenica,visitor,222,28,28019,4228
Sabato,visitor,222,34,34027,1360
Martedì,visitor,222,27,27038,2264
Giovedì,visitor,222,73,73013,52
Sabato,visitor,222,28,28015,2936
Sabato,visitor,222,108,108033,812
Venerdì,visitor,222,26,26086,6048
Lunedì,visitor,222,28,28083,708
Domenica,visitor,222,24,24046,2756
Domenica,visitor,222,28,28087,1748
Mercoledì,visitor,222,6,6003,284
Venerdì,visitor,222,27,27008,3376
Mercoledì,visitor,222,1,1249,76
Mercoledì,visitor,222,23,23071,580
Giovedì,visitor,222,28,28105,776
Venerdì,visitor,222,28,28073,3360
Domenica,visitor,222,24,24048,584
Domenica,visitor,222,99,99001,112
Martedì,visitor,222,36,36042,72
Sabato,visitor,222,28,28071,1684
Mercoledì,visitor,222,15,15209,296
Lunedì,visitor,222,48,48005,108
Venerdì,visitor,222,28,28033,2160
Domenica,visitor,222,21,21037,56
Domenica,visitor,222,23,23008,188
Venerdì,visitor,222,26,26038,548
Domenica,visitor,222,26,26050,152
Sabato,visitor,222,25,25052,44
Domenica,visitor,222,26,26001,452
Sabato,visitor,222,23,23076,316
Martedì,visitor,222,20,20019,36
Sabato,visitor,222,4,4215,32
Venerdì,visitor,222,45,45010,180
Martedì,visitor,222,27,27029,744
Mercoledì,visitor,222,24,24035,336
Domenica,visitor,222,15,15209,408
Sabato,visitor,222,75,75031,60
Mercoledì,visitor,222,26,26050,172
